"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"0CKA"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"0CKB"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"0NKA"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"0NKB"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"0MKA"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"0MKB"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"0SKA"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"0SKB"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"2CKA"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"2CKB"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"2NKA"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"2NKB"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"2MKA"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"2MKB"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"2SKA"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"2SKB"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"5CKA"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"5CKB"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"5NKA"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"5NKB"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"5MKA"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"5MKB"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"5SKA"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"5SKB"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"8CKA"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"8CKB"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"8NKA"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"8NKB"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"8MKA"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"8MKB"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"8SKA"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"8SKB"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"12CKA"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"12CKB"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"12NKA"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"12NKB"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"12MKA"
"Kimchi"	"Bacteria"	""	""	"Kimchi soup"	""	""	"Sample collection"	"12MKB"
