"","X0CKA","X0CKB","X0MKA","X0MKB","X0NKA","X0NKB","X0SKA","X0SKB","X2CKA","X2CKB","X2MKA","X2MKB","X2NKA","X2NKB","X2SKA","X2SKB","X5CKA","X5CKB","X5MKA","X5MKB","X5NKA","X5NKB","X5SKA","X5SKB","X8CKA","X8CKB","X8MKA","X8MKB","X8NKA","X8NKB","X8SKA","X8SKB","X12CKA","X12CKB","X12MKA","X12MKB","X12NKA","X12NKB","X12SKA","X12SKB","X16CKA","X16CKB","X16MKA","X16MKB","X16NKA","X16NKB","X16SKA","X16SKB","X20CKA","X20CKB","X20MKA","X20MKB","X20NKA","X20NKB","X20SKA","X20SKB","X25CKA","X25CKB","X25MKA","X25MKB","X25NKA","X25NKB","X25SKA","X25SKB","X30CKA","X30CKB","X30MKA","X30MKB","X30NKA","X30NKB","X30SKA","X30SKB","X40CKA","X40CKB","X40MKA","X40MKB","X40NKA","X40NKB","X40SKA","X40SKB"
"acetate",2.3264,2.2751,3.1523,2.76,2.1274,2.1078,5.4514,5.4508,2.2751,1.5778,3.0569,2.8078,1.2049,1.0349,1.2845,5.4508,1.0251,1.2175,4.1471,4.0452,1.1977,1.2775,3.3892,3.155,1.3609,1.2798,5.3104,4.4037,1.3625,1.5348,2.2895,2.2683,1.6248,1.1769,11.5954,9.5141,2.6844,3.0649,10.44,11.9026,1.1979,1.4378,4.9516,9.837,3.3616,6.9957,3.953,1.5245,1.6637,1.4839,1.7569,2.123,1.2241,1.1716,0.9419,0.9419,1.3721,1.3476,1.9665,2.1233,1.191,1.1236,1.2845,1.0916,1.6156,1.1872,1.6334,1.5839,1.2284,1.0883,1.1404,0.9957,1.1948,1.1688,1.0141,1.2313,1.1529,1.0586,1.2902,1.4326
"alanine",4.4298,3.8996,24.5831,25.5787,3.1036,3.619,8.6062,8.8612,3.8996,3.947,15.2284,15.2212,3.7569,3.7677,7.9999,8.8612,4.1479,3.9788,14.5055,15.3078,4.0962,4.4285,7.3561,6.3002,5.0171,4.7287,17.0193,15.1348,5.3755,5.6655,6.875,6.9413,5.3289,4.9311,15.3511,12.7659,6.0089,5.3903,7.0396,7.8576,5.8528,6.0011,15.2756,15.617,5.3996,5.4385,7.1912,7.4666,5.8287,5.502,14.1122,15.9041,5.9302,5.5283,8.1278,8.1278,5.9697,6.1431,14.5946,14.9904,6.8176,6.3015,7.9999,7.9726,6.1729,6.454,16.2687,16.1702,7.0985,6.6868,8.7477,9.3125,6.7212,7.0297,8.7176,14.7054,7.7226,7.7404,11.4185,15.7242
"arginine",10.4042,10.2022,10.2381,10.9759,9.7654,9.4916,15.1684,14.8368,10.2022,7.4154,7.529,7.1359,5.9205,5.8131,4.1294,14.8368,5.5466,5.2511,8.8588,8.5883,4.3646,5.2568,10.0174,8.7962,6.3395,5.7903,9.7973,8.4912,5.9983,5.6084,6.2263,6.9399,6.5657,4.9812,10.8167,8.6553,5.8676,5.2756,6.3334,2.9452,5.3454,5.2211,7.386,7.0725,4.8155,5.0579,4.538,4.5849,5.9442,5.761,6.3068,5.8799,5.6212,5.0215,3.4898,3.4898,5.124,5.5405,4.4611,4.9091,4.7822,4.5522,4.1294,3.7893,6.3378,6.2083,5.1459,4.9606,6.5283,5.2119,3.3955,3.835,5.8661,4.7686,3.3767,3.6479,4.9805,4.1439,4.5017,4.0394
"aspartate(1-)",7.5454,10.5256,6.3508,6.2441,7.7925,9.451,8.7366,8.3303,10.5256,4.4074,3.7378,3.5527,3.4371,3.4947,1.9847,8.3303,3.4682,1.8758,4.9762,4.3478,2.169,2.9864,4.811,4.4409,3.9217,2.4788,5.8217,5.0571,3.552,2.9314,2.4597,2.4191,3.3965,1.5537,6.8996,4.9895,2.8423,0.9747,1.8302,0.196,1.0631,0.216,2.3689,1.8182,1.1903,1.7467,0.6513,0.5762,0.2371,1.5916,0.7767,0.269,1.4363,1.6201,0.5637,0.5637,0.1592,0.1335,0.7255,0.2631,1.0267,1.2244,1.9847,1.4328,1.4739,1.2301,0.9987,0.6802,2.4433,1.0797,0.1779,0.1134,1.0336,0.6852,0.1039,0.1444,1.4612,0.169,0.3463,0.1447
"betaine aldehyde",3.207,3.0132,2.8547,2.724,2.6404,2.9565,4.5193,4.6579,3.0132,2.7658,2.1599,2.1033,2.1995,2.0749,1.8707,4.6579,2.3865,2.4513,2.9767,3.0797,2.3343,2.4268,3.3824,2.9312,2.8115,2.6438,3.4691,3.0143,2.4983,2.8574,2.4351,2.6725,2.8526,2.4081,3.6532,2.8918,2.8403,2.8776,2.5466,1.7885,2.3339,2.4551,2.5394,2.714,2.2151,2.3213,1.9985,2.0375,2.0542,2.0203,2.0639,2.2875,2.3804,2.2321,1.7817,1.7817,1.9084,1.9299,1.9554,2.0744,2.24,2.0674,1.8707,1.7213,2.1156,1.8905,1.8353,1.8203,2.4568,1.9019,1.7572,1.7623,1.7988,1.7578,1.6965,1.7844,1.9986,1.8746,2.3893,1.8823
"butyrate",1.642,1.4468,1.1895,1.1421,0.7909,0.8112,4.4294,4.2729,1.4468,1.0927,0.6959,0.6196,0.4885,0.4855,0.5366,4.2729,0.6011,0.7798,1.6251,1.5115,0.4572,0.5119,2.4061,2.479,0.6879,0.5735,2.4859,2.0546,0.5244,0.5084,0.5371,0.7992,0.6622,0.4113,1.7239,1.4838,0.6404,1.1996,0.5442,0.4122,0.4829,0.6326,0.8511,0.9159,0.3294,0.3812,0.4491,0.4314,0.5484,0.4461,0.5441,0.6384,0.525,0.4194,0.3928,0.3928,0.4952,0.5312,0.6242,0.6724,0.3999,0.416,0.5366,0.3491,0.6587,0.4869,0.6287,0.5071,0.6087,0.401,0.4098,0.4045,0.4602,0.3963,0.3551,0.3455,0.5442,0.4088,0.4126,0.4035
"choline",2.0776,1.9194,2.7838,2.8994,1.8217,1.9062,3.2147,3.3273,1.9194,1.5945,1.8338,1.8125,1.3484,1.3653,1.7444,3.3273,1.3631,1.2484,1.8533,1.849,1.1311,1.1753,1.8559,1.5876,1.364,1.192,2.0768,1.8446,1.3792,1.4641,1.4637,1.4703,1.452,1.2652,2.0864,1.639,1.3281,1.1627,1.4656,1.5933,1.3146,1.2988,1.7637,1.833,1.262,1.308,1.5175,1.5709,1.3828,1.4875,1.6436,1.7876,1.4334,1.37,1.6761,1.6761,1.3042,1.3306,1.6526,1.6725,1.4615,1.3836,1.7444,1.6387,1.4913,1.5438,1.8349,1.8104,1.6738,1.402,1.5537,1.6696,1.4565,1.4467,1.4909,1.5453,1.5703,1.4045,1.9773,1.6362
"dimethylamine",0.8695,1.0876,1.0847,1.006,0.7285,0.9446,3.0882,3.087,1.0876,0.7257,0.7333,0.6399,0.5488,0.4795,0.3606,3.087,0.4653,0.5279,1.4163,1.4072,0.5165,0.5544,1.6529,1.494,0.5738,0.5141,1.5193,1.2614,0.5367,0.6023,0.5962,0.6649,0.5567,0.366,1.1287,0.8579,0.5775,0.6785,0.4598,0.286,0.1839,0.13,0.5137,0.5378,0.2477,0.3007,0.2888,0.2767,0.1168,0.2114,0.2276,0.2297,0.2011,0.1973,0.2048,0.2048,0.0996,0.0998,0.2373,0.2297,0.1537,0.18,0.3606,0.3345,0.1904,0.1627,0.2386,0.2149,0.2431,0.1429,0.164,0.1645,0.1311,0.1068,0.1531,0.1439,0.188,0.0943,0.1326,0.158
"fructose",146.6939,119.8868,109.6126,114.7352,121.8053,121.5951,157.9211,168.1891,119.8868,99.8488,80.6536,77.887,83.898,80.8369,15.4987,168.1891,84.0195,86.2219,91.3358,97.5751,75.6995,80.7225,103.518,87.1181,90.9421,91.6653,104.2814,91.4995,84.7671,94.9883,83.9588,86.6911,85.3052,82.726,95.122,79.8036,88.3849,86.8592,75.3661,35.9511,63.0979,68.4731,68.3127,71.3927,73.8057,70.7453,47.2401,48.9301,45.1225,39.7712,44.9128,48.8242,61.6023,54.9685,36.1458,36.1458,23.1691,25.7246,28.3661,32.796,40.6532,37.1735,15.4987,17.9949,19.5413,19.5525,22.176,21.78,35.7914,35.659,18.2875,18.0296,13.2633,13.2988,16.151,11.9382,21.5538,20.6666,19.9677,17.0121
"glucose",47.6818,76.2702,56.8667,60.7287,73.5691,73.0459,82.8339,80.204,76.2702,67.6681,45.8031,40.7934,45.256,41.1076,47.527,80.204,61.6022,58.2214,64.3811,61.9055,52.2098,54.0748,67.3144,56.5655,71.9783,70.3193,74.2243,65.1313,58.9595,63.5401,55.9777,62.785,70.6979,61.113,91.5052,73.1299,75.8806,44.6619,58.9443,39.5129,55.7546,50.8402,60.0246,58.5717,56.2557,58.4381,42.6855,42.0698,43.2405,52.3768,56.6568,49.8311,60.8773,57.2073,33.7166,33.7166,38.2554,43.9311,48.5815,51.923,51.1356,51.0309,47.527,44.5468,56.7072,46.946,48.8786,48.0701,68.0442,54.1396,44.1202,32.9655,45.4898,40.6076,43.0136,40.4813,56.3692,46.5968,49.0257,43.3366
