"database_identifier"	"chemical_formula"	"smiles"	"inchi"	"metabolite_identification"	"chemical_shift"	"multiplicity"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"2CKA"	"2NKA"	"2NKB"	"12CKB"	"16SKA"	"20CKA"	"5NKB"	"12CKA"	"16SKB"	"20CKB"	"0NKA"	"0NKB"	"2CKB"	"40CKA"	"40CKB"	"0CKB"	"0CKA"	"5NKA"	"2MKA"	"2MKB"	"20NKB"	"20NKA"	"5SKA"	"5SKB"	"5MKB"	"5MKA"	"12NKB"	"20MKB"	"20MKA"	"12NKA"	"30SKB"	"30SKA"	"8SKB"	"8SKA"	"8NKB"	"8NKA"	"12MKA"	"12MKB"	"16CKA"	"16CKB"	"16NKA"	"30CKA"	"30CKB"	"30NKB"	"0SKB"	"8MKB"	"30MKA"	"2SKB"	"0SKA"	"30MKB"	"25SKA"	"25MKA"	"8MKA"	"25SKB"	"25MKB"	"25NKB"	"25NKA"	"25CKA"	"25CKB"	"2SKA"	"30NKA"	"16MKB"	"16MKA"	"40SKB"	"40SKA"	"0MKA"	"8CKB"	"0MKB"	"16NKB"	"40MKB"	"12SKA"	"8CKA"	"12SKB"	"40MKA"	"20SKB"	"40NKA"	"40NKB"	"20SKA"	"5CKB"	"5CKA"
"CHEBI:15366"	"C2H4O2"	"CC(O)=O"	"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)"	"acetate"	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa"	""	""	""	""	""	""	""	""	""	"2.2751"	"1.2049"	"1.0349"	"1.1769"	"3.953"	"1.6637"	"1.2775"	"1.6248"	"1.5245"	"1.4839"	"2.1274"	"2.1078"	"1.5778"	"1.1948"	"1.1688"	"2.2751"	"2.3264"	"1.1977"	"3.0569"	"2.8078"	"1.1716"	"1.2241"	"3.3892"	"3.155"	"4.0452"	"4.1471"	"3.0649"	"2.123"	"1.7569"	"2.6844"	"0.9957"	"1.1404"	"2.2683"	"2.2895"	"1.5348"	"1.3625"	"11.5954"	"9.5141"	"1.1979"	"1.4378"	"3.3616"	"1.6156"	"1.1872"	"1.0883"	"5.4508"	"4.4037"	"1.6334"	"5.4508"	"5.4514"	"1.5839"	"1.2845"	"1.9665"	"5.3104"	"1.0916"	"2.1233"	"1.1236"	"1.191"	"1.3721"	"1.3476"	"1.2845"	"1.2284"	"9.837"	"4.9516"	"1.4326"	"1.2902"	"3.1523"	"1.2798"	"2.76"	"6.9957"	"1.2313"	"10.44"	"1.3609"	"11.9026"	"1.0141"	"0.9419"	"1.1529"	"1.0586"	"0.9419"	"1.2175"	"1.0251"
"CHEBI:16449"	"C3H7NO2"	"CC(N)C(O)=O"	"InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)"	"alanine"	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa"	""	""	""	""	""	""	""	""	""	"3.8996"	"3.7569"	"3.7677"	"4.9311"	"7.1912"	"5.8287"	"4.4285"	"5.3289"	"7.4666"	"5.502"	"3.1036"	"3.619"	"3.947"	"6.7212"	"7.0297"	"3.8996"	"4.4298"	"4.0962"	"15.2284"	"15.2212"	"5.5283"	"5.9302"	"7.3561"	"6.3002"	"15.3078"	"14.5055"	"5.3903"	"15.9041"	"14.1122"	"6.0089"	"9.3125"	"8.7477"	"6.9413"	"6.875"	"5.6655"	"5.3755"	"15.3511"	"12.7659"	"5.8528"	"6.0011"	"5.3996"	"6.1729"	"6.454"	"6.6868"	"8.8612"	"15.1348"	"16.2687"	"8.8612"	"8.6062"	"16.1702"	"7.9999"	"14.5946"	"17.0193"	"7.9726"	"14.9904"	"6.3015"	"6.8176"	"5.9697"	"6.1431"	"7.9999"	"7.0985"	"15.617"	"15.2756"	"15.7242"	"11.4185"	"24.5831"	"4.7287"	"25.5787"	"5.4385"	"14.7054"	"7.0396"	"5.0171"	"7.8576"	"8.7176"	"8.1278"	"7.7226"	"7.7404"	"8.1278"	"3.9788"	"4.1479"
"CHEBI:29016"	"C6H14N4O2"	"NC(CCCNC(N)=N)C(O)=O"	"InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)"	"arginine"	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa"	""	""	""	""	""	""	""	""	""	"10.2022"	"5.9205"	"5.8131"	"4.9812"	"4.538"	"5.9442"	"5.2568"	"6.5657"	"4.5849"	"5.761"	"9.7654"	"9.4916"	"7.4154"	"5.8661"	"4.7686"	"10.2022"	"10.4042"	"4.3646"	"7.529"	"7.1359"	"5.0215"	"5.6212"	"10.0174"	"8.7962"	"8.5883"	"8.8588"	"5.2756"	"5.8799"	"6.3068"	"5.8676"	"3.835"	"3.3955"	"6.9399"	"6.2263"	"5.6084"	"5.9983"	"10.8167"	"8.6553"	"5.3454"	"5.2211"	"4.8155"	"6.3378"	"6.2083"	"5.2119"	"14.8368"	"8.4912"	"5.1459"	"14.8368"	"15.1684"	"4.9606"	"4.1294"	"4.4611"	"9.7973"	"3.7893"	"4.9091"	"4.5522"	"4.7822"	"5.124"	"5.5405"	"4.1294"	"6.5283"	"7.0725"	"7.386"	"4.0394"	"4.5017"	"10.2381"	"5.7903"	"10.9759"	"5.0579"	"3.6479"	"6.3334"	"6.3395"	"2.9452"	"3.3767"	"3.4898"	"4.9805"	"4.1439"	"3.4898"	"5.2511"	"5.5466"
"CHEBI:35391"	"C4H6NO4-"	"[NH3+]C(CC([O-])=O)C([O-])=O"	"InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)/p-1"	"aspartate(1-)"	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa"	""	""	""	""	""	""	""	""	""	"10.5256"	"3.4371"	"3.4947"	"1.5537"	"0.6513"	"0.2371"	"2.9864"	"3.3965"	"0.5762"	"1.5916"	"7.7925"	"9.451"	"4.4074"	"1.0336"	"0.6852"	"10.5256"	"7.5454"	"2.169"	"3.7378"	"3.5527"	"1.6201"	"1.4363"	"4.811"	"4.4409"	"4.3478"	"4.9762"	"0.9747"	"0.269"	"0.7767"	"2.8423"	"0.1134"	"0.1779"	"2.4191"	"2.4597"	"2.9314"	"3.552"	"6.8996"	"4.9895"	"1.0631"	"0.216"	"1.1903"	"1.4739"	"1.2301"	"1.0797"	"8.3303"	"5.0571"	"0.9987"	"8.3303"	"8.7366"	"0.6802"	"1.9847"	"0.7255"	"5.8217"	"1.4328"	"0.2631"	"1.2244"	"1.0267"	"0.1592"	"0.1335"	"1.9847"	"2.4433"	"1.8182"	"2.3689"	"0.1447"	"0.3463"	"6.3508"	"2.4788"	"6.2441"	"1.7467"	"0.1444"	"1.8302"	"3.9217"	"0.196"	"0.1039"	"0.5637"	"1.4612"	"0.169"	"0.5637"	"1.8758"	"3.4682"
"CHEBI:15710"	"C5H12NO+"	"[H]C(=O)C[N+](C)(C)C"	"InChI=1S/C5H12NO/c1-6(2,3)4-5-7/h5H,4H2,1-3H3/q+1"	"betaine aldehyde"	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa"	""	""	""	""	""	""	""	""	""	"3.0132"	"2.1995"	"2.0749"	"2.4081"	"1.9985"	"2.0542"	"2.4268"	"2.8526"	"2.0375"	"2.0203"	"2.6404"	"2.9565"	"2.7658"	"1.7988"	"1.7578"	"3.0132"	"3.207"	"2.3343"	"2.1599"	"2.1033"	"2.2321"	"2.3804"	"3.3824"	"2.9312"	"3.0797"	"2.9767"	"2.8776"	"2.2875"	"2.0639"	"2.8403"	"1.7623"	"1.7572"	"2.6725"	"2.4351"	"2.8574"	"2.4983"	"3.6532"	"2.8918"	"2.3339"	"2.4551"	"2.2151"	"2.1156"	"1.8905"	"1.9019"	"4.6579"	"3.0143"	"1.8353"	"4.6579"	"4.5193"	"1.8203"	"1.8707"	"1.9554"	"3.4691"	"1.7213"	"2.0744"	"2.0674"	"2.24"	"1.9084"	"1.9299"	"1.8707"	"2.4568"	"2.714"	"2.5394"	"1.8823"	"2.3893"	"2.8547"	"2.6438"	"2.724"	"2.3213"	"1.7844"	"2.5466"	"2.8115"	"1.7885"	"1.6965"	"1.7817"	"1.9986"	"1.8746"	"1.7817"	"2.4513"	"2.3865"
"CHEBI:30772"	"C4H8O2"	"CCCC(O)=O"	"InChI=1S/C4H8O2/c1-2-3-4(5)6/h2-3H2,1H3,(H,5,6)"	"butyrate"	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa"	""	""	""	""	""	""	""	""	""	"1.4468"	"0.4885"	"0.4855"	"0.4113"	"0.4491"	"0.5484"	"0.5119"	"0.6622"	"0.4314"	"0.4461"	"0.7909"	"0.8112"	"1.0927"	"0.4602"	"0.3963"	"1.4468"	"1.642"	"0.4572"	"0.6959"	"0.6196"	"0.4194"	"0.525"	"2.4061"	"2.479"	"1.5115"	"1.6251"	"1.1996"	"0.6384"	"0.5441"	"0.6404"	"0.4045"	"0.4098"	"0.7992"	"0.5371"	"0.5084"	"0.5244"	"1.7239"	"1.4838"	"0.4829"	"0.6326"	"0.3294"	"0.6587"	"0.4869"	"0.401"	"4.2729"	"2.0546"	"0.6287"	"4.2729"	"4.4294"	"0.5071"	"0.5366"	"0.6242"	"2.4859"	"0.3491"	"0.6724"	"0.416"	"0.3999"	"0.4952"	"0.5312"	"0.5366"	"0.6087"	"0.9159"	"0.8511"	"0.4035"	"0.4126"	"1.1895"	"0.5735"	"1.1421"	"0.3812"	"0.3455"	"0.5442"	"0.6879"	"0.4122"	"0.3551"	"0.3928"	"0.5442"	"0.4088"	"0.3928"	"0.7798"	"0.6011"
"CHEBI:15354"	"C5H14NO+"	"C[N+](C)(C)CCO"	"InChI=1S/C5H14NO/c1-6(2,3)4-5-7/h7H,4-5H2,1-3H3/q+1"	"choline"	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa"	""	""	""	""	""	""	""	""	""	"1.9194"	"1.3484"	"1.3653"	"1.2652"	"1.5175"	"1.3828"	"1.1753"	"1.452"	"1.5709"	"1.4875"	"1.8217"	"1.9062"	"1.5945"	"1.4565"	"1.4467"	"1.9194"	"2.0776"	"1.1311"	"1.8338"	"1.8125"	"1.37"	"1.4334"	"1.8559"	"1.5876"	"1.849"	"1.8533"	"1.1627"	"1.7876"	"1.6436"	"1.3281"	"1.6696"	"1.5537"	"1.4703"	"1.4637"	"1.4641"	"1.3792"	"2.0864"	"1.639"	"1.3146"	"1.2988"	"1.262"	"1.4913"	"1.5438"	"1.402"	"3.3273"	"1.8446"	"1.8349"	"3.3273"	"3.2147"	"1.8104"	"1.7444"	"1.6526"	"2.0768"	"1.6387"	"1.6725"	"1.3836"	"1.4615"	"1.3042"	"1.3306"	"1.7444"	"1.6738"	"1.833"	"1.7637"	"1.6362"	"1.9773"	"2.7838"	"1.192"	"2.8994"	"1.308"	"1.5453"	"1.4656"	"1.364"	"1.5933"	"1.4909"	"1.6761"	"1.5703"	"1.4045"	"1.6761"	"1.2484"	"1.3631"
"CHEBI:17170"	"C2H7N"	"[H]N(C)C"	"InChI=1S/C2H7N/c1-3-2/h3H,1-2H3"	"dimethylamine"	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa"	""	""	""	""	""	""	""	""	""	"1.0876"	"0.5488"	"0.4795"	"0.366"	"0.2888"	"0.1168"	"0.5544"	"0.5567"	"0.2767"	"0.2114"	"0.7285"	"0.9446"	"0.7257"	"0.1311"	"0.1068"	"1.0876"	"0.8695"	"0.5165"	"0.7333"	"0.6399"	"0.1973"	"0.2011"	"1.6529"	"1.494"	"1.4072"	"1.4163"	"0.6785"	"0.2297"	"0.2276"	"0.5775"	"0.1645"	"0.164"	"0.6649"	"0.5962"	"0.6023"	"0.5367"	"1.1287"	"0.8579"	"0.1839"	"0.13"	"0.2477"	"0.1904"	"0.1627"	"0.1429"	"3.087"	"1.2614"	"0.2386"	"3.087"	"3.0882"	"0.2149"	"0.3606"	"0.2373"	"1.5193"	"0.3345"	"0.2297"	"0.18"	"0.1537"	"0.0996"	"0.0998"	"0.3606"	"0.2431"	"0.5378"	"0.5137"	"0.158"	"0.1326"	"1.0847"	"0.5141"	"1.006"	"0.3007"	"0.1439"	"0.4598"	"0.5738"	"0.286"	"0.1531"	"0.2048"	"0.188"	"0.0943"	"0.2048"	"0.5279"	"0.4653"
"CHEBI:28757"	"C6H12O6"	""	""	"fructose"	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa"	""	""	""	""	""	""	""	""	""	"119.8868"	"83.898"	"80.8369"	"82.726"	"47.2401"	"45.1225"	"80.7225"	"85.3052"	"48.9301"	"39.7712"	"121.8053"	"121.5951"	"99.8488"	"13.2633"	"13.2988"	"119.8868"	"146.6939"	"75.6995"	"80.6536"	"77.887"	"54.9685"	"61.6023"	"103.518"	"87.1181"	"97.5751"	"91.3358"	"86.8592"	"48.8242"	"44.9128"	"88.3849"	"18.0296"	"18.2875"	"86.6911"	"83.9588"	"94.9883"	"84.7671"	"95.122"	"79.8036"	"63.0979"	"68.4731"	"73.8057"	"19.5413"	"19.5525"	"35.659"	"168.1891"	"91.4995"	"22.176"	"168.1891"	"157.9211"	"21.78"	"15.4987"	"28.3661"	"104.2814"	"17.9949"	"32.796"	"37.1735"	"40.6532"	"23.1691"	"25.7246"	"15.4987"	"35.7914"	"71.3927"	"68.3127"	"17.0121"	"19.9677"	"109.6126"	"91.6653"	"114.7352"	"70.7453"	"11.9382"	"75.3661"	"90.9421"	"35.9511"	"16.151"	"36.1458"	"21.5538"	"20.6666"	"36.1458"	"86.2219"	"84.0195"
"CHEBI:17234"	"C6H12O6"	""	""	"glucose"	""	""	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3711"	"Brassica rapa"	""	""	""	""	""	""	""	""	""	"76.2702"	"45.256"	"41.1076"	"61.113"	"42.6855"	"43.2405"	"54.0748"	"70.6979"	"42.0698"	"52.3768"	"73.5691"	"73.0459"	"67.6681"	"45.4898"	"40.6076"	"76.2702"	"47.6818"	"52.2098"	"45.8031"	"40.7934"	"57.2073"	"60.8773"	"67.3144"	"56.5655"	"61.9055"	"64.3811"	"44.6619"	"49.8311"	"56.6568"	"75.8806"	"32.9655"	"44.1202"	"62.785"	"55.9777"	"63.5401"	"58.9595"	"91.5052"	"73.1299"	"55.7546"	"50.8402"	"56.2557"	"56.7072"	"46.946"	"54.1396"	"80.204"	"65.1313"	"48.8786"	"80.204"	"82.8339"	"48.0701"	"47.527"	"48.5815"	"74.2243"	"44.5468"	"51.923"	"51.0309"	"51.1356"	"38.2554"	"43.9311"	"47.527"	"68.0442"	"58.5717"	"60.0246"	"43.3366"	"49.0257"	"56.8667"	"70.3193"	"60.7287"	"58.4381"	"40.4813"	"58.9443"	"71.9783"	"39.5129"	"43.0136"	"33.7166"	"56.3692"	"46.5968"	"33.7166"	"58.2214"	"61.6022"
