"","Source.Name","Characteristics.Organism.","Term.Source.REF","Term.Accession.Number","Characteristics.Variant.","Term.Source.REF.1","Term.Accession.Number.1","Characteristics.Organism.part.","Term.Source.REF.2","Term.Accession.Number.2","Protocol.REF","Sample.Name","Factor.Value.Kimchi.","Factor.Value.Replicate.","Fermentation_days","Jeotgal"
"X0CKA","Kimchi","Brassica rapa","NCBITAXON","http://purl.bioontology.org/ontology/NCBITAXON/3711","Brassica rapa subsp. pekinensis","EFO","http://purl.obolibrary.org/obo/NCBITaxon_51351","kimchi","MEO","http://purl.jp/bio/11/meo/MEO_0000017","Sample collection","0CKA","kimchi without jeotgal","A","0","SEM"
"X0CKB","Kimchi","Brassica rapa","NCBITAXON","http://purl.bioontology.org/ontology/NCBITAXON/3711","Brassica rapa subsp. pekinensis","EFO","http://purl.obolibrary.org/obo/NCBITaxon_51351","kimchi","MEO","http://purl.jp/bio/11/meo/MEO_0000017","Sample collection","0CKB","kimchi without jeotgal","B","0","SEM"
"X0NKA","Kimchi","Brassica rapa","NCBITAXON","http://purl.bioontology.org/ontology/NCBITAXON/3711","Brassica rapa subsp. pekinensis","EFO","http://purl.obolibrary.org/obo/NCBITaxon_51351","kimchi","MEO","http://purl.jp/bio/11/meo/MEO_0000017","Sample collection","0NKA","kimchi with salinity adjusted with salt instead of jeotgal","A","0","SEM"
"X0NKB","Kimchi","Brassica rapa","NCBITAXON","http://purl.bioontology.org/ontology/NCBITAXON/3711","Brassica rapa subsp. pekinensis","EFO","http://purl.obolibrary.org/obo/NCBITaxon_51351","kimchi","MEO","http://purl.jp/bio/11/meo/MEO_0000017","Sample collection","0NKB","kimchi with salinity adjusted with salt instead of jeotgal","B","0","SEM"
"X0MKA","Kimchi","Brassica rapa","NCBITAXON","http://purl.bioontology.org/ontology/NCBITAXON/3711","Brassica rapa subsp. pekinensis","EFO","http://purl.obolibrary.org/obo/NCBITaxon_51351","kimchi","MEO","http://purl.jp/bio/11/meo/MEO_0000017","Sample collection","0MKA","kimchi with myeolchi-jeot","A","0","COM"
"X0MKB","Kimchi","Brassica rapa","NCBITAXON","http://purl.bioontology.org/ontology/NCBITAXON/3711","Brassica rapa subsp. pekinensis","EFO","http://purl.obolibrary.org/obo/NCBITaxon_51351","kimchi","MEO","http://purl.jp/bio/11/meo/MEO_0000017","Sample collection","0MKB","kimchi with myeolchi-jeot","B","0","COM"
"X0SKA","Kimchi","Brassica rapa","NCBITAXON","http://purl.bioontology.org/ontology/NCBITAXON/3711","Brassica rapa subsp. pekinensis","EFO","http://purl.obolibrary.org/obo/NCBITaxon_51351","kimchi","MEO","http://purl.jp/bio/11/meo/MEO_0000017","Sample collection","0SKA","kimchi with saeu-jeot","A","0","COM"
"X0SKB","Kimchi","Brassica rapa","NCBITAXON","http://purl.bioontology.org/ontology/NCBITAXON/3711","Brassica rapa subsp. pekinensis","EFO","http://purl.obolibrary.org/obo/NCBITaxon_51351","kimchi","MEO","http://purl.jp/bio/11/meo/MEO_0000017","Sample collection","0SKB","kimchi with saeu-jeot","B","0","COM"
"X2CKA","Kimchi","Brassica rapa","NCBITAXON","http://purl.bioontology.org/ontology/NCBITAXON/3711","Brassica rapa subsp. pekinensis","EFO","http://purl.obolibrary.org/obo/NCBITaxon_51351","kimchi","MEO","http://purl.jp/bio/11/meo/MEO_0000017","Sample collection","2CKA","kimchi without jeotgal","A","2","SEM"
"X2CKB","Kimchi","Brassica rapa","NCBITAXON","http://purl.bioontology.org/ontology/NCBITAXON/3711","Brassica rapa subsp. pekinensis","EFO","http://purl.obolibrary.org/obo/NCBITaxon_51351","kimchi","MEO","http://purl.jp/bio/11/meo/MEO_0000017","Sample collection","2CKB","kimchi without jeotgal","B","2","SEM"
"X2NKA","Kimchi","Brassica rapa","NCBITAXON","http://purl.bioontology.org/ontology/NCBITAXON/3711","Brassica rapa subsp. pekinensis","EFO","http://purl.obolibrary.org/obo/NCBITaxon_51351","kimchi","MEO","http://purl.jp/bio/11/meo/MEO_0000017","Sample collection","2NKA","kimchi with salinity adjusted with salt instead of jeotgal","A","2","SEM"
"X2NKB","Kimchi","Brassica rapa","NCBITAXON","http://purl.bioontology.org/ontology/NCBITAXON/3711","Brassica rapa subsp. pekinensis","EFO","http://purl.obolibrary.org/obo/NCBITaxon_51351","kimchi","MEO","http://purl.jp/bio/11/meo/MEO_0000017","Sample collection","2NKB","kimchi with salinity adjusted with salt instead of jeotgal","B","2","SEM"
"X2MKA","Kimchi","Brassica rapa","NCBITAXON","http://purl.bioontology.org/ontology/NCBITAXON/3711","Brassica rapa subsp. pekinensis","EFO","http://purl.obolibrary.org/obo/NCBITaxon_51351","kimchi","MEO","http://purl.jp/bio/11/meo/MEO_0000017","Sample collection","2MKA","kimchi with myeolchi-jeot","A","2","COM"
"X2MKB","Kimchi","Brassica rapa","NCBITAXON","http://purl.bioontology.org/ontology/NCBITAXON/3711","Brassica rapa subsp. pekinensis","EFO","http://purl.obolibrary.org/obo/NCBITaxon_51351","kimchi","MEO","http://purl.jp/bio/11/meo/MEO_0000017","Sample collection","2MKB","kimchi with myeolchi-jeot","B","2","COM"
"X2SKA","Kimchi","Brassica rapa","NCBITAXON","http://purl.bioontology.org/ontology/NCBITAXON/3711","Brassica rapa subsp. pekinensis","EFO","http://purl.obolibrary.org/obo/NCBITaxon_51351","kimchi","MEO","http://purl.jp/bio/11/meo/MEO_0000017","Sample collection","2SKA","kimchi with saeu-jeot","A","2","COM"
"X2SKB","Kimchi","Brassica rapa","NCBITAXON","http://purl.bioontology.org/ontology/NCBITAXON/3711","Brassica rapa subsp. pekinensis","EFO","http://purl.obolibrary.org/obo/NCBITaxon_51351","kimchi","MEO","http://purl.jp/bio/11/meo/MEO_0000017","Sample collection","2SKB","kimchi with saeu-jeot","B","2","COM"
"X5CKA","Kimchi","Brassica rapa","NCBITAXON","http://purl.bioontology.org/ontology/NCBITAXON/3711","Brassica rapa subsp. pekinensis","EFO","http://purl.obolibrary.org/obo/NCBITaxon_51351","kimchi","MEO","http://purl.jp/bio/11/meo/MEO_0000017","Sample collection","5CKA","kimchi without jeotgal","A","5","SEM"
"X5CKB","Kimchi","Brassica rapa","NCBITAXON","http://purl.bioontology.org/ontology/NCBITAXON/3711","Brassica rapa subsp. pekinensis","EFO","http://purl.obolibrary.org/obo/NCBITaxon_51351","kimchi","MEO","http://purl.jp/bio/11/meo/MEO_0000017","Sample collection","5CKB","kimchi without jeotgal","B","5","SEM"
