",""Kimchi"",""Replicate"""
"0CKA,""kimchi without jeotgal"",""A"""
"0CKB,""kimchi without jeotgal"",""B"""
"0NKA,""kimchi with salinity adjusted with salt instead of jeotgal"",""A"""
"0NKB,""kimchi with salinity adjusted with salt instead of jeotgal"",""B"""
"0MKA,""kimchi with myeolchi-jeot"",""A"""
"0MKB,""kimchi with myeolchi-jeot"",""B"""
"0SKA,""kimchi with saeu-jeot"",""A"""
"0SKB,""kimchi with saeu-jeot"",""B"""
"2CKA,""kimchi without jeotgal"",""A"""
"2CKB,""kimchi without jeotgal"",""B"""
"2NKA,""kimchi with salinity adjusted with salt instead of jeotgal"",""A"""
"2NKB,""kimchi with salinity adjusted with salt instead of jeotgal"",""B"""
"2MKA,""kimchi with myeolchi-jeot"",""A"""
"2MKB,""kimchi with myeolchi-jeot"",""B"""
"2SKA,""kimchi with saeu-jeot"",""A"""
"2SKB,""kimchi with saeu-jeot"",""B"""
"5CKA,""kimchi without jeotgal"",""A"""
"5CKB,""kimchi without jeotgal"",""B"""
"5NKA,""kimchi with salinity adjusted with salt instead of jeotgal"",""A"""
"5NKB,""kimchi with salinity adjusted with salt instead of jeotgal"",""B"""
"5MKA,""kimchi with myeolchi-jeot"",""A"""
"5MKB,""kimchi with myeolchi-jeot"",""B"""
"5SKA,""kimchi with saeu-jeot"",""A"""
"5SKB,""kimchi with saeu-jeot"",""B"""
"8CKA,""kimchi without jeotgal"",""A"""
"8CKB,""kimchi without jeotgal"",""B"""
"8NKA,""kimchi with salinity adjusted with salt instead of jeotgal"",""A"""
"8NKB,""kimchi with salinity adjusted with salt instead of jeotgal"",""B"""
"8MKA,""kimchi with myeolchi-jeot"",""A"""
"8MKB,""kimchi with myeolchi-jeot"",""B"""
"8SKA,""kimchi with saeu-jeot"",""A"""
"8SKB,""kimchi with saeu-jeot"",""B"""
"12CKA,""kimchi without jeotgal"",""A"""
"12CKB,""kimchi without jeotgal"",""B"""
"12NKA,""kimchi with salinity adjusted with salt instead of jeotgal"",""A"""
"12NKB,""kimchi with salinity adjusted with salt instead of jeotgal"",""B"""
"12MKA,""kimchi with myeolchi-jeot"",""A"""
"12MKB,""kimchi with myeolchi-jeot"",""B"""
"12SKA,""kimchi with saeu-jeot"",""A"""
"12SKB,""kimchi with saeu-jeot"",""B"""
"16CKA,""kimchi without jeotgal"",""A"""
"16CKB,""kimchi without jeotgal"",""B"""
"16NKA,""kimchi with salinity adjusted with salt instead of jeotgal"",""A"""
"16NKB,""kimchi with salinity adjusted with salt instead of jeotgal"",""B"""
"16MKA,""kimchi with myeolchi-jeot"",""A"""
"16MKB,""kimchi with myeolchi-jeot"",""B"""
"16SKA,""kimchi with saeu-jeot"",""A"""
"16SKB,""kimchi with saeu-jeot"",""B"""
"20CKA,""kimchi without jeotgal"",""A"""
"20CKB,""kimchi without jeotgal"",""B"""
"20NKA,""kimchi with salinity adjusted with salt instead of jeotgal"",""A"""
"20NKB,""kimchi with salinity adjusted with salt instead of jeotgal"",""B"""
"20MKA,""kimchi with myeolchi-jeot"",""A"""
"20MKB,""kimchi with myeolchi-jeot"",""B"""
"20SKA,""kimchi with saeu-jeot"",""A"""
"20SKB,""kimchi with saeu-jeot"",""B"""
"25CKA,""kimchi without jeotgal"",""A"""
"25CKB,""kimchi without jeotgal"",""B"""
"25NKA,""kimchi with salinity adjusted with salt instead of jeotgal"",""A"""
"25NKB,""kimchi with salinity adjusted with salt instead of jeotgal"",""B"""
"25MKA,""kimchi with myeolchi-jeot"",""A"""
"25MKB,""kimchi with myeolchi-jeot"",""B"""
"25SKA,""kimchi with saeu-jeot"",""A"""
"25SKB,""kimchi with saeu-jeot"",""B"""
"30CKA,""kimchi without jeotgal"",""A"""
"30CKB,""kimchi without jeotgal"",""B"""
"30NKA,""kimchi with salinity adjusted with salt instead of jeotgal"",""A"""
"30NKB,""kimchi with salinity adjusted with salt instead of jeotgal"",""B"""
"30MKA,""kimchi with myeolchi-jeot"",""A"""
"30MKB,""kimchi with myeolchi-jeot"",""B"""
"30SKA,""kimchi with saeu-jeot"",""A"""
"30SKB,""kimchi with saeu-jeot"",""B"""
"40CKA,""kimchi without jeotgal"",""A"""
