"0CKA","0CKA.fid.zip"
"0CKB","0CKB.fid.zip"
"0NKA","0NKA.fid.zip"
"0NKB","0NKB.fid.zip"
"0MKA","0MKA.fid.zip"
"0MKB","0MKB.fid.zip"
"0SKA","0SKA.fid.zip"
"0SKB","0SKB.fid.zip"
"2CKA","2CKA.fid.zip"
"2CKB","2CKB.fid.zip"
"2NKA","2NKA.fid.zip"
"2NKB","2NKB.fid.zip"
"2MKA","2MKA.fid.zip"
"2MKB","2MKB.fid.zip"
"2SKA","2SKA.fid.zip"
"2SKB","2SKB.fid.zip"
"5CKA","5CKA.fid.zip"
"5CKB","5CKB.fid.zip"
"5NKA","5NKA.fid.zip"
"5NKB","5NKB.fid.zip"
"5MKA","5MKA.fid.zip"
"5MKB","5MKB.fid.zip"
"5SKA","5SKA.fid.zip"
"5SKB","5SKB.fid.zip"
"8CKA","8CKA.fid.zip"
"8CKB","8CKB.fid.zip"
"8NKA","8NKA.fid.zip"
"8NKB","8NKB.fid.zip"
"8MKA","8MKA.fid.zip"
"8MKB","8MKB.fid.zip"
"8SKA","8SKA.fid.zip"
"8SKB","8SKB.fid.zip"
"12CKA","12CKA.fid.zip"
"12CKB","12CKB.fid.zip"
"12NKA","12NKA.fid.zip"
"12NKB","12NKB.fid.zip"
"12MKA","12MKA.fid.zip"
"12MKB","12MKB.fid.zip"
"12SKA","12SKA.fid.zip"
"12SKB","12SKB.fid.zip"
"16CKA","16CKA.fid.zip"
"16CKB","16CKB.fid.zip"
"16NKA","16NKA.fid.zip"
"16NKB","16NKB.fid.zip"
"16MKA","16MKA.fid.zip"
"16MKB","16MKB.fid.zip"
"16SKA","16SKA.fid.zip"
"16SKB","16SKB.fid.zip"
"20CKA","20CKA.fid.zip"
"20CKB","20CKB.fid.zip"
"20NKA","20NKA.fid.zip"
"20NKB","20NKB.fid.zip"
"20MKA","20MKA.fid.zip"
"20MKB","20MKB.fid.zip"
"20SKA","20SKA.fid.zip"
"20SKB","20SKB.fid.zip"
"25CKA","25CKA.fid.zip"
"25CKB","25CKB.fid.zip"
"25NKA","25NKA.fid.zip"
"25NKB","25NKB.fid.zip"
"25MKA","25MKA.fid.zip"
"25MKB","25MKB.fid.zip"
"25SKA","25SKA.fid.zip"
"25SKB","25SKB.fid.zip"
"30CKA","30CKA.fid.zip"
"30CKB","30CKB.fid.zip"
"30NKA","30NKA.fid.zip"
"30NKB","30NKB.fid.zip"
"30MKA","30MKA.fid.zip"
"30MKB","30MKB.fid.zip"
"30SKA","30SKA.fid.zip"
"30SKB","30SKB.fid.zip"
"40CKA","40CKA.fid.zip"
"40CKB","40CKA.fid.zip"
"40NKA","40CKA.fid.zip"
"40NKB","40CKA.fid.zip"
"40MKA","40CKA.fid.zip"
"40MKB","40CKA.fid.zip"
"40SKA","40CKA.fid.zip"
"40SKB","40CKA.fid.zip"
